DOI,BNN_Only_Stereo,Reaxys_Only_Stereo
op5001226,"{('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 9, 30), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 15, (14, 16, 17), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 25, (13, 23, 26, 27), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 9, (5, 10, 11), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 12, (11, 13, 30), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 13, (12, 14, 25), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 27, (25, 28, 29), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 30, (5, 12, 29, 31), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 23, (17, 22, 24, 25), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S'))}","{('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 23, (17, 22, 24, 25), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 15, (14, 16, 17), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 9, (5, 10, 11), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 12, (11, 13, 30), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 13, (12, 14, 25), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 9, 30), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 25, (13, 23, 26, 27), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 27, (25, 28, 29), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)S)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 30, (5, 12, 29, 31), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}"
op5001226,"{('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 27, (15, 25, 28, 29), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 14, (13, 15, 32), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 29, (27, 30, 31), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 11, 32), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 15, (14, 16, 27), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 17, (16, 18, 19), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 25, (19, 24, 26, 27), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 32, (5, 14, 31, 33), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 11, (5, 12, 13), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R'))}","{('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 17, (16, 18, 19), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 11, 32), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 27, (15, 25, 28, 29), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 25, (19, 24, 26, 27), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 11, (5, 12, 13), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 32, (5, 14, 31, 33), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 29, (27, 30, 31), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 14, (13, 15, 32), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 15, (14, 16, 27), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}"
op5001226,"{('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 7, 28), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 11, (10, 12, 23), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 13, (12, 14, 15), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 10, (9, 11, 28), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 7, (5, 8, 9), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 28, (5, 10, 27, 29), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 23, (11, 21, 24, 25), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 25, (23, 26, 27), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 21, (15, 20, 22, 23), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S'))}","{('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 7, 28), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 23, (11, 21, 24, 25), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 25, (23, 26, 27), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 10, (9, 11, 28), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 11, (10, 12, 23), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 28, (5, 10, 27, 29), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 21, (15, 20, 22, 23), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 13, (12, 14, 15), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@@]1(F)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 7, (5, 8, 9), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R'))}"
op5001226,"{('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 14, (5, 15, 16), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 30, (18, 28, 31, 32), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 14, 35), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 18, (17, 19, 30), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 32, (30, 33, 34), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 20, (19, 21, 22), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 17, (16, 18, 35), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 28, (22, 27, 29, 30), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 35, (5, 17, 34, 36), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}","{('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 14, (5, 15, 16), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 5, (4, 6, 14, 35), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 35, (5, 17, 34, 36), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 30, (18, 28, 31, 32), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 20, (19, 21, 22), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 28, (22, 27, 29, 30), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 18, (17, 19, 30), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 32, (30, 33, 34), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CCC(=O)O[C@]1(C(=O)SC(=O)N(C)C)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C', 17, (16, 18, 35), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S'))}"
acs.oprd.7b00153,"{('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 17, (4, 10, 16, 18), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R')), ('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 4, (3, 5, 17), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 12, (11, 13, 14, 19), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R')), ('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 10, (9, 11, 17), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 1, (0, 2, 16), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 16, (1, 15, 17), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('C[C@@H]1CCC2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4', 5, (4, 6, 7), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R'))}","{('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 12, (11, 13, 14, 19), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R')), ('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 17, (4, 10, 16, 18), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R')), ('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 10, (9, 11, 17), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 1, (0, 2, 16), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R')), ('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 4, (3, 5, 17), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 16, (1, 15, 17), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S')), ('C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4', 5, (4, 6, 7), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R'))}"
op034028h,"{('CC(=O)NC[C@H](O)CCl', 5, (4, 6, 7), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}","{('CC(=O)NCC(O)CCl', 5, (4, 6, 7), 'Unspecified', 'NoValue', 'Atom_Tetrahedral', ('CIP', None))}"
op034028h,"{('CC(=O)NC[C@H]1CO1', 5, (4, 6, 7), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S'))}","{('CC(=O)NCC1CO1', 5, (4, 6, 7), 'Unspecified', 'NoValue', 'Atom_Tetrahedral', ('CIP', None))}"
op034028h,"{('CC1(C)C2CC[C@@]1(CS(=O)(=O)O)C(=O)C2', 3, (1, 4, 14), 'Unspecified', 'Fused ring', 'Atom_Tetrahedral', ('CIP', None)), ('CC1(C)C2CC[C@@]1(CS(=O)(=O)O)C(=O)C2', 6, (1, 5, 7, 12), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}","{('CC1(C)[C@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2', 3, (1, 4, 14), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'S')), ('CC1(C)[C@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2', 6, (1, 5, 7, 12), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}"
op034028h,"{('CC1=NC[C@H](CO)O1', 4, (3, 5, 7), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'R'))}","{('CC1=NCC(CO)O1', 4, (3, 5, 7), 'Unspecified', 'NoValue', 'Atom_Tetrahedral', ('CIP', None))}"
op5003215,"{('CCOC(=O)C[C@@H](O)c1ccccc1', 6, (5, 7, 8), 'Specified', 'Tet_CW', 'Atom_Tetrahedral', ('CIP', 'R'))}","{('CCOC(=O)C[C@H](O)c1ccccc1', 6, (5, 7, 8), 'Specified', 'Tet_CCW', 'Atom_Tetrahedral', ('CIP', 'S'))}"
