smiles,pubchem,cirpy,exists_any,Has_CAS
[CH3][Al]([CH3])[CH3],False,True,True,False
COc1ccc(CCOC(c2ccccc2)(c2ccccc2)[C@H](Oc2nc(C)cc(C)n2)C(=O)[O-])cc1OC,False,True,True,False
[C-]#N,False,True,True,False
CC(c1ccccc1)(c1ccccc1)[C@H](O)C(=O)O,False,True,True,False
[Na+],False,True,True,False
CC(=O)O[C@@H]1[C@@H](Br)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,True,True,False
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)=O)[C@H]1Br,False,True,True,False
CC(=O)OC(C)(C)C(=O)Br,False,True,True,False
COC(=O)c1coc2c1C1(O[Si](C)(C)C)C(CC2)C1(Cl)Cl,False,True,True,False
CCOC(=O)C#CC(=O)CCCCc1ccco1,False,True,True,False
O=C([O-])C(Cl)(Cl)Cl,False,True,True,False
CCO,True,True,True,False
O=C(O)CCCC(=O)c1cc(C(=O)O)co1,False,True,True,False
C#CC(=O)OCC,False,True,True,False
CCOC(=O)c1coc2c1C(=O)CCCC2,False,True,True,False
CCOC(=O)C(=O)CBr,False,True,True,False
CCOC(=O)c1coc(CCCCC(=O)OC)c1C(=O)OC,False,True,True,False
CCOC(=O)c1coc(C2CCCC(=O)O2)c1,False,True,True,False
O=C(Cl)C(Cl)Cl,False,True,True,False
C[Si](C)(C)Cl,False,True,True,False
COc1ccc(C(C)c2ccc(OC)cc2Cl)c(Cl)c1,False,True,True,False
[Bi+3],False,True,True,False
CCOC(=O)C(c1ccc(OC)cc1Cl)c1ccc(OC)cc1Cl,False,True,True,False
COc1ccc(C(CO)c2ccc(OC)cc2Cl)c(Cl)c1,False,True,True,False
O=S(=O)([O-])C(F)(F)F,False,True,True,False
COc1ccc(C(CBr)c2ccc(OC)cc2Cl)c(Cl)c1,False,True,True,False
BrCCCCOCCCCBr,False,True,True,False
COCCCN1C[C@@H](OS(=O)(=O)c2ccc(C)cc2)c2cc(S(=O)(=O)N=C(C)OC)sc2S1(=O)=O,False,True,True,False
COC(C)(OC)OC,False,True,True,False
COCCBr,False,True,True,False
COCCN1C[C@@H](OS(=O)(=O)c2ccc(C)cc2)c2cc(S(=O)(=O)N=C(C)OC)sc2S1(=O)=O,False,True,True,False
CC(C)(C)N,False,True,True,False
Cc1ccc(S(=O)(=O)Cl)cc1,False,True,True,False
SCc1ccccc1,False,True,True,False
COCCN,False,True,True,False
ClCc1ccccc1,False,True,True,False
COCCNS(=O)c1sc(Cl)cc1C(C)=O,False,True,True,False
CCN,True,True,True,False
CCOC(=O)C[C@H](N)c1cc(Cl)cc(Br)c1O,False,True,True,False
CC(C)(C)OC(=O)NCC(=O)ON1C(=O)CCC1=O,False,True,True,False
N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cn[nH]c2)ccc1F,False,True,True,False
N#Cc1cc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(F)(F)F)[C@H]2c2cccnc2)ccc1F,False,True,True,False
COc1ccc(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl,False,True,True,False
COc1cc(OC)c(NC(=O)[C@@H]2c3ccccc3C(=O)N(CC(C)C)[C@H]2c2cccs2)cc1Cl,False,True,True,False
O=C(O)[C@@H]1c2ccccc2C(=O)N(CC(F)(F)F)[C@H]1c1cccnc1,False,True,True,False
Brc1ccccn1,False,True,True,False
CC(C)(C)OC(=O)NN,False,True,True,False
COC(=O)Cl,False,True,True,False
I,True,True,True,False
CCOC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,False,True,True,False
Cc1cc(C)c(C)c(O)c1,False,True,True,False
COc1ccc(CN)cc1,False,True,True,False
Nc1ccccc1,False,True,True,False
Cc1ccc(N)cc1,False,True,True,False
NCc1ccccc1,False,True,True,False
C=O,False,True,True,False
COc1ccc(N)cc1,False,True,True,False
COc1ccccc1CN,False,True,True,False
COS(=O)(=O)C(F)(F)F,False,True,True,False
C1CCNC1,False,True,True,False
